trucker,outcome,winsorize,threshold,estimate,se,low,high,pval,n_exps
hashtag,frac,0.95,60,-0.000141080951754829,0.000182857825369338,-0.000499475703770046,0.000217313800260388,0.440390729238546,3
hashtag,frac,0.975,60,-0.000121142654195436,0.000198047519123728,-0.000509308658905451,0.000267023350514579,0.540746330205421,3
hashtag,frac,0.99,60,-9.0920904183869e-05,0.000217723113263735,-0.000517650364782725,0.000335808556414987,0.676240496619515,3
hashtag,sum,0.9,60,-0.0297436412305608,0.0107406390781242,-0.0507949069946278,-0.00869237546649383,0.00561834742412569,3
hashtag,sum,0.925,60,-0.0301744035392008,0.0110888481397942,-0.0519081465232313,-0.00844066055517027,0.00650555109982469,3
hashtag,sum,0.95,60,-0.0292969016925843,0.011537978930831,-0.0519109248513951,-0.0066828785337735,0.0111115493212482,3
hashtag,sum,0.975,60,-0.028811329679933,0.0124711569270612,-0.0532543481025201,-0.00436831125734584,0.0208750299338036,3
hashtag,sum,0.99,60,-0.0296659403967104,0.0137357953597689,-0.0565876046008698,-0.00274427619255098,0.0307917103643777,3
hashtag,count,0.9,65,-0.0360259541408079,0.0118730881302861,-0.0592967792614386,-0.0127551290201772,0.00241132060855562,3
hashtag,count,0.925,65,-0.0369072817872914,0.0122090560976836,-0.0608365920239803,-0.0129779715506025,0.0025032931352923,3
hashtag,count,0.95,65,-0.036531241775302,0.0126661636047231,-0.0613564662628512,-0.0117060172877528,0.00392459360918877,3
hashtag,count,0.975,65,-0.0350026430420623,0.013581285496375,-0.0616214734787134,-0.00838381260541109,0.00995840587448244,3
hashtag,count,0.99,65,-0.0326809748190848,0.0149193638611338,-0.0619223906591555,-0.00343955897901416,0.0284874690199525,3
hashtag,frac,0.9,65,-6.69787568048535e-05,0.000169094929899922,-0.000398398729377025,0.000264441215767318,0.692030145543444,3
hashtag,frac,0.925,65,-7.96247419482685e-05,0.000179917613552781,-0.000432256784696115,0.000273007300799578,0.658082402556314,3
hashtag,frac,0.95,65,-6.79378523870028e-05,0.000195911596506484,-0.000451917525693454,0.000316041820919448,0.728758026519157,3
hashtag,frac,0.975,65,7.57785285133993e-07,0.000216447612857893,-0.000423471740456004,0.000424987311026272,0.997206603776889,3
hashtag,frac,0.99,65,2.32897878161921e-05,0.000227942275804314,-0.000423468863314358,0.000470048438946742,0.91861851692237,3
hashtag,sum,0.9,65,-0.0296371365532955,0.0107628140189368,-0.0507318644027145,-0.0085424087038765,0.00589328539903743,3
hashtag,sum,0.925,65,-0.0300917722507757,0.0110720814880673,-0.0517926532012802,-0.00839089130027122,0.00657163078829871,3
hashtag,sum,0.95,65,-0.0289911080980059,0.0115247483256686,-0.0515791997472047,-0.00640301644880711,0.0118846015314718,3
hashtag,sum,0.975,65,-0.0282197836031428,0.0124506512886404,-0.0526226117129452,-0.00381695549334045,0.023418908592763,3
